Feature ID,106A_Female_TotalReads,108A_Female_TotalReads,106A_Male_TotalReads,108A_Male_TotalReads
TR13127-1,0,3,4,5
TR13127-2,4,2,10,3
TR13128,2,4,7,2
TR1313,8,5,8,9
TR13130-1,0,0,23,6
TR13130-2,13,5,36,28
TR13131,2,1,0,6
TR13132,2,6,2,15
TR13134,11,5,8,4
TR13135-1,18,2,16,20
TR13135-2,5,14,17,29
TR13136,63,0,3,5
TR13137,7,11,15,29
TR13139,8,13,30,22
TR1314,0,4,2,3
TR13140,21,13,92,67
TR13141,4,11,2,3
TR13142,2,1,4,5
TR13144,0,2,3,8
TR13145,3,4,7,7
TR13146,5,22,10,24
TR13147,3097,4547,6073,7035
TR13148,5,4,6,7
TR13149,52,26,52,38
TR1315,5,9,6,5
TR13150,6,7,17,12
TR13151,4,0,6,1
TR13154,60,63,79,84
TR13156,5,4,37,8
TR13158,6,22,27,14
TR13159,4,11,20,8
TR1316,5,4,8,3
TR13160-1,5,0,7,20
TR13160-2,2,6,4,0
TR13161-1,6,7,0,1
TR13161-2,7,4,2,10
TR13162,14,13,17,22
TR13164,8,13,12,7
TR13165,6,18,31,21
TR13166,11,12,15,12
TR13167,0,0,11,53
TR1317,3,11,10,10
TR13170,20,36,29,28
TR13171,8,13,12,15
TR13172,93,82,85,49
TR13173,7,2,4,4
TR13174,5,14,5,5
TR13175,4,2,41,30
TR13176,19,0,4,1
TR13177,24,25,46,21
TR1318,15,14,17,19
TR13183,1,0,6,4
TR13184,289,292,721,651
TR13187,2,19,16,11
TR13188,4,4,8,8
TR13189,25,54,116,45
TR1319,1,5,4,6
TR13190,45,6,21,5
TR13192,7,9,8,3
TR13193,4,14,9,1
TR13197,2,2,5,5
TR13199,28,10,16,6
TR132,3,3,6,3
TR1320,10,24,12,14
TR13201,3,15,7,8
TR13203,6,2,2,1
TR13204,48,52,187,217
TR13205,19,10,50,12
TR13206,3,3,1,1
TR13207,1,7,0,6
TR13208,0,2,2,5
TR13209,23,8,19,3
TR1321,3,7,5,3
TR13210-1,2,1,0,3
TR13210-2,3,1,1,2
TR13211-1,0,3,2,2
TR13211-2,1,0,3,5
TR13212-1,8,5,6,3
TR13212-2,4,9,10,15
TR13213,2,230,26,1235
TR13214,4,18,16,13
TR13215,8,19,12,32
TR13216,5,4,24,8
TR13217,5,4,11,12
TR13218,200,137,309,241
TR13219-1,2,0,11,10
TR13219-2,2,1,0,5
TR1322,23,7,26,13
TR13221,13,27,28,24
TR13222,10,12,34,13
TR13224,5,2,7,0
TR13225,23,25,50,25
TR13226-1,5,0,6,3
TR13226-2,8,9,9,4
TR13227,14,15,23,31
TR13229,15,3,0,7
TR1323-1,2,3,2,0
TR1323-2,0,1,1,0
TR13230,5,0,12,5
TR13231,2,10,13,13
TR13232,15,3,6,5
TR13233,10,9,94,116
TR13234,4,3,4,4
TR13235,8,49,12,12
TR13235-1,299,414,1957,2296
TR13235-2,16,257,75,6
TR13236,0,3,5,8
TR13237,2,4,35,75
TR13238,3,0,5,10
TR13239,353,281,348,194
TR1324,14,0,0,0
TR13240,7,11,13,9
TR13242-1,2,6,1,3
TR13242-2,4,1,4,3
TR13243,17,21,13,15
TR13244,17,18,34,55
TR13246,5,2,2,4
TR13247,2,10,9,3
TR13248,3,7,6,0
TR13249,8,10,6,5
TR1325,5,4,8,4
TR13251,13,22,21,11
TR13252,24,13,39,21
TR13255,2,36,14,1
TR13257,26,48,58,62
TR13258,133,126,181,129
TR13259,3,8,7,10
TR1326-1,2,2,11,2
TR1326-2,0,0,2,2
TR13263,50,16,15,15
TR13264,6,9,5,14
TR13265,20,2,7,3
TR13266,2,1,6,0
TR13267,8,32,45,16
TR13269-1,4,0,2,3
TR13269-2,4,1,4,2
TR1327,0,3,20,1
TR13270,2,6,5,4
TR13271,2,9,6,10
TR13273,41,4,17,26
TR13274,55,87,113,45
TR13275,5,3,0,0
TR13277,27,7,25,27
TR13277-1,0,4,6,6
TR13277-2,5,0,0,5
TR13277-3,7,3,4,3
TR13278,23,48,5,11
TR1328,2,1,4,7
TR13280,4,2,13,14
TR13283,133,97,386,486
TR13285,1,1,12,5
TR13286,10,6,7,2
TR13287,6,10,45,82
TR13290,5,2,2,7
TR13291,318,460,415,448
TR13292,0,2,29,39
TR13293,4,10,6,9
TR13294-1,3,8,3,2
TR13294-2,1,6,2,0
TR13295,6,8,14,9
TR13296,6,11,8,5
TR13297,11,8,17,23
TR13298,36,161,97,71
TR13299,3,0,7,8
TR133,3,7,10,11
TR13301,2,4,1,4
TR13306,23,43,18,7
TR1331,0,9,2,2
TR13310,2,17,16,20
TR13311,11,31,14,15
TR13312,51,30,33,30
TR13313,4,11,3,2
TR13314,2,6,9,12
TR13315,12,24,59,108
TR13316,38,25,51,35
TR13318,28,27,17,14
TR13321,8,7,11,12
TR13323,14,39,29,25
TR13324,163,216,245,216
TR13325,14,10,13,8
TR13326,3,5,5,2
TR13327,18,59,62,22
TR13328,13,6,17,14
TR13329,0,6,12,2
TR13330-1,5,4,12,1
TR13330-2,49,22,11,4
TR13332,155,200,208,154
TR13334,33,63,62,48
TR13338,13,7,8,2
TR1334-1,22,22,22,28
TR1334-2,15,10,6,9
TR13340,45,2,0,4
TR13341,174,43,88,39
TR13342,12,14,9,26
TR13343,5,12,9,7
TR13344,4,15,12,3
TR13348,19,21,38,32
TR1335,1,4,4,8
TR13350,4,1,6,6
TR13352,23,23,38,16
TR13353,17,15,14,15
TR13355,8,2,13,28
TR13356,3,8,21,25
TR13357,8,5,17,65
TR13358,31,17,28,49
TR1336,6,3,6,2
TR13360,3,18,6,1
TR13361,14,15,42,67
TR13362,17,9,23,32
TR13363,477,303,1632,1466
TR13364,10,13,16,8
TR13365,3,10,8,15
TR13366,33,43,75,69
TR13368,0,7,1,19
TR13368-1,6,9,6,6
TR13368-2,5,1,3,0
TR13369-1,9,1,17,24
TR13369-2,10,4,11,14
TR1337,3,1,3,14
TR13370,76,320,96,110
TR13371,5,16,37,7
TR13372,10,0,29,12
TR13373,15,12,7,12
TR13374,8,7,10,9
TR13375,16,16,37,25
TR13376,2,15,32,15
TR13377,11,24,305,22
TR13378-1,4,5,7,8
TR13378-2,10,8,12,15
TR1338,2,2,10,3
TR13381,38,7,42,34
TR13382,969,610,4698,4272
TR13383,6,18,15,7
TR13385,602,467,795,517
TR13386,5,12,21,43
TR13388,22,17,23,46
TR13389,4,18,9,18
TR13390,5,1,15,22
TR13391,51,57,34,40
TR13393,197,229,314,259
TR13394,8,0,6,7
TR13397,21,13,6,3
TR13398,39,31,26,13
TR13399,2007,478,10933,10709
TR1340,3,4,8,5
TR13400,6,24,35,39
TR13401,7,88,39,42
TR13402,7,10,16,11
TR13403,29,64,53,67
TR13405,83,78,106,71
TR13406,16,33,28,29
TR13408,31,28,37,37
TR13409,7,3,8,8
TR1341,5,12,15,14
TR13411,1,2,5,29
TR13412,13,43,41,31
TR13413,22,61,67,28
TR13414,0,5,0,7
TR13415,18,13,59,37
TR13419,21,9,17,15
TR13420,10,15,10,14
TR13421,13,22,23,20
TR13422,128,288,359,371
TR13423,5,11,15,18
TR13424,759,475,1029,801
TR13427,1,11,14,18
TR13429,6,9,24,26
TR1343,8,2,4,2
TR13430,34,22,42,31
TR13431,206,180,241,202
TR13432,2,11,7,13
TR13435,2,0,0,18
TR13436,5,9,2,4
TR13438,0,2,7,3
TR13439,21,14,35,25
TR1344,14,10,27,15
TR13440,58,66,55,33
TR13441-1,13,29,35,33
TR13441-2,10,21,29,15
TR13445,7,11,14,8
TR13447,26,142,191,95
TR13449,2,3,2,20
TR1345,8,2,1,5
TR13450,33,43,48,24
TR13451,30,9,27,17
TR13455,5,3,4,2
TR13455-1,19,15,49,69
TR13455-2,8,22,21,2
TR13456-1,1,10,13,2
TR13456-2,9,5,9,4
TR13457,11,2,41,40
TR13458,181,153,188,152
TR1346,8,11,10,11
TR13460-1,0,0,1,1
TR13460-2,4,6,2,0
TR13461,53,75,158,75
TR13462,42,97,165,245
TR13463,4,10,34,34
TR13466,125,67,22,19
TR13468,15,28,41,21
TR1347,11,62,12,26
TR13470,12,18,7,25
TR13477,5,11,4,10
TR13479,3,10,9,5
TR1348,9,18,20,13
TR13480,3,9,17,19
TR13480-1,1,0,4,5
TR13480-2,1,3,2,4
TR13481,189,178,311,243
TR13482,61,37,39,29
TR13484,5,8,18,13
TR13486-1,3,2,6,11
TR13486-2,3,3,4,7
TR13489,22,30,22,23
TR1349,49,2,10,18
TR13490,4,5,10,18
TR13491,13,21,16,19
TR13492,40,50,56,63
TR13493,16,14,10,4
TR13494,42,42,40,41
TR13495,23,91,64,128
TR13496,67,97,27,77
TR13497,10,13,19,27
TR13498,9,22,11,15
TR135,8,11,24,1
TR1350,4,5,7,18
TR13500,34,66,84,115
TR13501,9,29,40,31
TR13502,63,78,67,38
TR13503,6,3,9,16
TR13506,5,1,6,8
TR13507,49,47,36,34
TR13508,21,4,13,23
TR13509,109,186,366,447
TR1351,21,35,9,10
TR13510,43,30,67,121
TR13511,4,2,24,11
TR13512,200,196,212,217
TR13514,3,129,263,25
TR13515,3,9,19,23
TR13516,38,47,72,49
TR13517,231,244,777,886
TR13518,16,13,32,16
TR1352,48,23,24,10
TR13521,6,1,23,14
TR13522,84,38,54,55
TR13524,36,15,34,9
TR13525,0,12,6,14
TR13527,29,31,30,32
TR13528,22,39,51,96
TR13529,181,730,94,187
TR1353,8,5,12,9
TR13530,9,3,20,18
TR13531,20,10,34,65
TR13533,2,10,23,33
TR13534,36,15,18,12
TR13536,0,0,7,3
TR13537,96,69,117,92
TR13538-1,163,319,176,226
TR13538-2,25,58,52,4
TR13539,14,17,25,17
TR13541,8,315,125,231
TR13542,146,209,287,269
TR13544,30,8,10,17
TR13545,201,133,281,181
TR13547,11,20,40,61
TR13548,682,899,1264,1413
TR13549,180,132,198,164
TR13551,14,28,51,56
TR13554,7027,9208,13780,15664
TR13557-1,2,1,8,13
TR13557-2,1,9,2,6
TR13558,70,107,70,78
TR1356,4,13,22,25
TR13560-1,1,2,2,5
TR13560-2,0,0,0,0
TR13561,9,20,25,19
TR13562,7,5,17,2
TR13563,11,5,8,19
TR13564,93,110,92,81
TR13565,25,23,74,61
TR13566,2,12,19,12
TR13567,668,774,975,805
TR13568,27,67,75,87
TR1357,4,1,0,3
TR13570,26,23,123,132
TR13572,3,3,226,62
TR13573,490,476,877,1036
TR13574,1,8,10,12
TR13576,2,3,13,0
TR13578-1,6,2,2,6
TR13578-2,0,0,5,1
TR13579,11,31,14,9
TR1358-1,13,0,0,0
TR1358-2,7,0,0,0
TR13580,3,13,23,15
TR13581,376,153,1474,1022
TR13582-1,6,9,17,24
TR13582-2,95,97,28,48
TR13582-3,46,66,27,13
TR13583,26,55,62,86
TR13584,51,4,12,24
TR13586,19,36,55,20
TR13587,193,264,147,124
TR13588,114,114,239,268
TR13589,18,19,30,44
TR1359,3,6,10,12
TR13590,57,45,28,19
TR13591,12,27,29,35
TR13592,15,19,32,31
TR13594,84,21,18,13
TR13595,33,18,151,106
TR13597,109,203,313,516
TR13598,4,10,17,6
TR13599,18,8,36,39
TR136,2,7,8,11
TR13601,96,10,28,56
TR13603,17,22,39,27
TR13604,4,7,12,6
TR13607,22,16,18,14
TR13609,384,458,337,506
TR13611,6,14,14,24
TR13612,4,5,5,10
TR13614,16,8,18,7
TR13615,17,16,16,17
TR13618,0,8,15,2
TR13619,210,200,186,183
TR13620,163,48,698,823
TR13621,14,25,12,22
TR13622,22,23,18,10
TR13623,144,142,195,163
TR13624,1,30,0,24
TR13625,9,9,6,4
TR13627,9,11,16,5
TR13628,23,1,37,73
TR13629,17,24,33,18
TR1363,1,7,23,16
TR13630,23,29,81,31
TR13631,35,20,26,13
TR13632-1,2,7,2,9
TR13632-2,1,6,17,1
TR13633,50,32,33,35
TR13634,67,49,81,69
TR13635,5,12,15,7
TR13636,5,4,11,15
TR13637,64,9,195,176
TR13638,8,11,8,5
TR13640,528,439,644,339
TR13645,142,169,293,127
TR13646,127,97,156,100
TR13647,12,11,21,23
TR1365,3,8,9,20
TR13650,10,16,20,62
TR13651,67,116,77,105
TR13653,2,2,0,7
TR13654,285,365,989,1016
TR13655,3,3,4,53
TR13657,3,9,7,9
TR13658,3,16,10,0
TR1366,0,0,19,5
TR13661,8,37,29,48
TR13663,45,56,151,133
TR13664,5,8,15,19
TR13665,9,18,14,11
TR13666,16,7,1,0
TR13668,14,10,37,55
TR1367-1,2,7,0,6
TR1367-2,6,4,1,1
TR1367-3,0,1,3,10
TR13670,693,631,842,580
TR13672,301,305,366,269
TR13674,69,59,76,50
TR13675,10,10,22,10
TR13676,14,17,17,16
TR1368,11,12,16,11
TR13680,9,5,2,10
TR13680-1,32,20,19,30
TR13680-2,7,11,46,80
TR13681,4,4,7,15
TR13683,3153,4957,6471,7330
TR13685,11666,15992,17396,20067
TR13687,11,23,20,11
TR13688,44,49,84,43
TR1369,0,1,1,4
TR13690,23,9,38,41
TR13691,35,42,13,70
TR13692,3,7,1,0
TR13693,35,19,80,97
TR13695,0,6,4,0
TR13696,39,19,41,8
TR13697,350,427,416,399
TR13698,13,5,12,13
TR137,14,13,17,18
TR1370,15,16,15,16
TR13700,6,13,10,5
TR13701,9,11,25,21
TR13702,16,23,27,12
TR13703-1,1,4,10,13
TR13703-2,0,6,1,1
TR13704,4,6,130,111
TR13705,19,51,23,13
TR13706,370,454,559,509
TR13707,9,12,29,22
TR13710,21,37,20,31
TR13711,16,2,4,6
TR13712,136,160,190,168
TR13714,3,4,0,7
TR13715,3,8,4,11
TR13716,38,104,54,64
TR13717,24,10,17,33
TR1372,1,1,9,11
TR13721,32,35,66,72
TR13723,26,75,63,12
TR13725,8,9,1,9
TR13728,27,25,34,36
TR13731,100,172,114,158
TR13733,22,20,11,20
TR13736,114,103,211,159
TR13738,5,5,7,2
TR13739,11,11,28,18
TR1374-1,9,2,12,1
TR1374-2,4,7,2,6
TR13741,17,7,48,15
TR13742,1784,2583,3789,3979
TR13743,4,44,12,8
TR13744,8,7,15,17
TR13745,7,18,12,16
TR13746,7,10,34,8
TR13746-1,377,412,966,2015
TR13746-2,190,12,111,7
TR13749,61,27,35,24
TR13750,13,24,17,30
TR13751,93,207,131,95
TR13753,7,11,15,8
TR13754,24,12,22,3
TR13757,207,331,403,492
TR13758,19,36,90,40
TR13759,220,243,187,114
TR1376,10,7,10,4
TR13761,11,20,71,33
TR13762,62,67,120,80
TR13764,3,16,12,12
TR13766,63,71,70,78
TR13768,21,66,95,37
TR1377,6,2,1,3
TR13770,6,11,8,13
TR13771,7,14,21,9
TR13774,267,320,651,578
TR13775,22,10,21,15
TR13777-1,2,7,2,3
TR13777-2,13,9,6,0
TR13778,15,24,47,28
TR13779,18,17,24,23
TR13781,70,159,218,110
TR13786,22,12,25,36
TR13788,75,50,60,66
TR13789,155,232,168,116
TR1379,2,9,9,5
TR13790,18,20,23,37
TR13792,53,82,61,43
TR13793,29,11,53,50
TR13794,25,19,29,41
TR13795,1,1,33,42
TR13796,396,457,491,436
TR13797,2,14,4,0
TR13798,429,496,405,356
TR13799,7,33,4,8
TR1380,9,3,2,3
TR13800,3,0,6,6
TR13802,12,12,12,18
TR13803,12,26,13,9
TR13804,47,17,35,24
TR13805,4,5,13,12
TR13807,174,265,562,430
TR13808,24,74,33,16
TR13809,731,876,1353,1412
TR1381,3,3,2,2
TR13811,28,34,42,37
TR13812,163,130,261,216
TR13814,6,12,6,7
TR13815,14,9,41,169
TR13816,27,14,34,23
TR13817,38,74,65,55
TR13819,432,530,640,729
TR1382,129,93,148,461
TR13820-1,0,0,4,3
TR13820-2,3,13,0,3
TR13820-3,6,2,2,1
TR13821,272,383,302,334
TR13822,3,21,27,5
TR13823,7,8,13,15
TR13826,31,23,37,21
TR13827-1,23,11,6,6
TR13827-2,0,0,1,1
TR13827-3,0,7,17,9
TR13827-4,39,12,25,18
TR13828,634,1046,1114,1171
TR1383,9,21,37,14
TR13830,55,52,54,114
TR13833,131,19,39,18
TR13834,3,2,5,2
TR13837,11,5,10,5
TR13838,5,7,53,40
TR1384,72,39,56,75
TR13841,17,35,37,42
TR13842,6,83,28,30
TR13843,23,11,21,78
TR13844,6,3,16,23
TR13845,376,551,915,908
TR13847,10,34,14,14
TR13848,0,3,8,4
TR13849,15,27,54,43
TR1385,51,67,59,54
TR13850-1,8,6,2,1
TR13850-2,1,3,4,5
TR13851,9,23,16,15
TR13852,10,15,18,6
TR13853,17,11,16,17
TR13855,104,96,155,212
TR13856,5,14,6,16
TR13857,166,186,253,193
TR13858,1,30,50,53
TR1386,94,114,167,130
TR13860,14,9,17,27
TR13864,7,6,1,9
TR13866,0,55,27,78
TR13867,33,53,39,20
TR13868,29,49,58,48
TR13869,242,324,504,432
TR1387,10,19,11,7
TR13871,8,0,5,9
TR13872,12,11,13,10
TR13873,53,42,79,39
TR13874,12,21,27,21
TR13875,20,18,23,74
TR13877,37,43,33,20
TR13878,2,2,28,64
TR13879,11,14,9,7
TR13880,4,13,6,11
TR13886,19,30,256,98
TR13887-1,1,0,9,8
TR13887-2,0,0,0,5
TR13888,5,3,9,0
TR1389,1,1,7,6
TR13890,30,12,15,8
TR13893,6,5,13,17
TR13894,11,14,12,13
TR13896,6,3,31,23
TR13897,100,102,91,50
TR13898,47,83,75,63
TR13899,12,18,19,11
TR139,6,4,6,5
TR1390,7,6,11,12
TR13900,4,6,8,14
TR13901,236,349,436,386
TR13902,5,13,5,2
TR13903,11,15,18,27
TR13904,17,15,30,30
TR13905,13,14,20,13
TR1391,19,26,59,83
TR13910,530,517,789,563
TR13911,9,0,17,13
TR13912,0,5,17,3
TR13915,20,26,38,38
TR13917,26,48,51,21
TR13918,7,9,16,17
TR13919,26,33,33,21
TR1392-1,0,0,0,0
TR1392-2,0,0,6,0
TR13920,10,28,17,18
TR13921,306,400,693,714
TR13922,48,166,117,10
TR13923,27,4,10,13
TR13925,60,55,75,57
TR13926,1,54,31,57
TR13927,15,19,25,12
TR13929,18,25,29,22
TR1393,5,11,5,7
TR13930,115,122,172,155
TR13931,14,26,33,5
TR13932,3,12,5,9
TR13933,38,35,51,29
TR13934,67,56,16,7
TR13937,21,52,20,30
TR13939,37,20,4,9
TR1394,7,8,6,11
TR13940,79,12,21,37
TR13944,10,11,8,4
TR13945,28,46,32,24
TR13946,31,23,41,29
TR13948,46,41,39,40
TR13949,9,2,8,4
TR1395,8,18,17,21
TR13950,59,27,73,5
TR13952,58,58,72,32
TR13953,82,6,155,53
TR13954,7,14,14,8
TR13956,6,7,9,15
TR1396-1,9,3,7,3
TR1396-2,7,4,6,8
TR13962,10,5,5,11
TR13963-1,9,9,6,13
TR13963-2,10,11,19,28
TR13964,5,6,19,51
TR1397,10,14,0,3
TR1397-1,16,10,3,2
TR1397-2,0,26,1,3
TR13970,17,52,24,42
TR13972,13,27,27,10
TR13973,3,3,62,22
TR13975,54,72,124,59
TR13976,2,6,8,9
TR13978,262,219,193,320
TR1398,1,1,2,4
TR13980,7,9,19,12
TR13982,15,6,6,5
TR13983,2754,3466,5983,8855
TR13985,251,265,338,229
TR13986,17,13,28,29
TR13987,6,5,21,9
TR13988,4,14,14,12
TR1399,7,4,8,5
TR13991,139,126,165,195
TR13992,7,3,56,50
TR13993,14,52,29,31
TR13994,23,53,70,80
TR13997,11,12,19,9
TR13998,19,1,4,8
TR14,0,1,3,2
TR14000,7,14,12,7
TR14001,19,3,39,17
TR14003,0,13,11,20
TR14006,87,89,125,84
TR14007,8,5,24,8
TR14008,35,53,66,66
TR14009-1,8,5,8,1
TR14009-2,0,0,1,3
TR1401,4,26,20,16
TR14012,11,74,1,1
TR14014,9,5,27,35
TR14015,2,9,8,12
TR14016,15,37,14,13
TR14018,7,0,20,15
TR14019,10,4,20,23
TR1402,0,0,23,3
TR14020,8,4,8,13
TR14024,12,2,2,3
TR14025,15,60,53,26
TR14028,4,4,12,11
TR14029,345,241,209,180
TR1403,2,8,14,7
TR14032,11,3,12,40
TR14033,55,42,105,78
TR14034,24,11,24,22
TR14035,72,99,164,152
TR14037,7,7,9,6
TR14038-1,5,1,5,16
TR14038-2,8,14,10,5
TR14039,6,7,5,4
TR1404,9,11,12,13
TR14040,11,10,14,11
TR14041,12,17,37,36
TR14043,200,299,342,331
TR14044,118,110,202,144
TR14045,15,8,45,18
TR14045-1,0,4,0,1
TR14045-2,0,0,2,9
TR14048,16,7,27,15
TR14049-1,5,4,12,20
TR14049-2,14,10,16,12
TR1405,4,1,4,2
TR14050,20,10,27,12
TR14052-1,2,6,3,10
TR14052-2,2,0,6,4
TR14053,0,1,1,16
TR14054,23,15,36,65
TR14055,72,9,18,14
TR14057,12,18,53,54
TR14058,14,5,7,13
TR14059,8,31,14,10
TR1406,10,16,29,20
TR14061,719,1144,1551,2802
TR14062,14,23,42,15
TR14063,34,13,13,10
TR14065,60,26,18,14
TR14066,17,12,13,11
TR14068,58,132,304,242
TR14069,566,823,827,750
TR14070,10,20,19,11
TR14071,68,67,82,72
TR14072,16,7,10,13
TR14073,7,23,35,101
TR14076,21,8,2,4
TR14078,8,2,8,33
TR14079,10,21,50,91
TR1408,6,3,7,6
TR14081,1,5,9,13
TR14082,13,13,18,5
TR14085,3,4,10,12
TR14086,5036,7535,8272,8812
TR14087,24,73,41,15
TR14088,5,4,35,96
TR14089,15,16,14,15
TR1409,2,4,3,7
TR14091,15,17,41,13
TR14094-1,2,17,3,3
TR14094-2,14,17,35,20
TR14095,46,45,60,42
TR14096,555,1226,998,974
TR14097,16,19,41,22
TR14098,4,6,11,6
TR141,3,6,6,4
TR1410,27,22,17,20
TR14101,5,27,31,16
TR14102,5,29,30,13
TR14105,0,0,3,0
TR14105-1,8,0,0,1
TR14105-2,1,0,10,4
TR14106-1,155,331,545,342
TR14106-2,666,1013,724,854
TR14107,417,657,472,492
TR14108,34,16,55,64
TR14109,26,28,27,14
TR14110,18,10,46,42
TR14111,8,15,28,17
TR14112,56,35,50,42
TR14113,106,65,115,46
TR14114,7,21,20,6
TR14115,3023,3555,5858,6524
TR14116,1418,1497,1516,1419
TR14117,22,19,74,83
TR14118,3,6,10,3
TR14119,21,23,16,9
TR14121,4,13,9,8
TR14124,52,13,20,13
TR14125,5,17,44,48
TR14126,1,10,8,2
TR14129,1667,2006,2693,2229
TR1413,1,141,24,76
TR14131,17,4,15,4
TR14132,8,1,18,14
TR14133,8,7,8,10
TR14134,28,51,49,51
TR14136-1,4,6,9,5
TR14136-2,1,4,0,5
TR14137,0,9,17,7
TR14138,1,13,5,6
TR14139,64,52,65,39
TR1414,9,14,9,11
TR14140,17,11,12,6
TR14141,26,53,58,44
TR14143,131,123,279,255
TR14144,370,556,548,603
TR14146,49,59,49,80
TR14147,19,0,5,13
TR14148,2,5,1,3
TR14149,20,27,10,92
TR1415,19,3,19,25
TR14151-1,1,9,10,17
TR14151-2,3,11,3,4
TR14152,128,208,323,219
TR14153,12,15,25,14
TR14154,11,5,26,40
TR14157,8,5,38,32
TR14158,17,12,74,62
TR14159,1,7,7,3
TR14160,298,222,380,327
TR14161,659,62,93,57
TR14163,32,13,18,0
TR14164,28,18,19,34
TR14166,177,113,143,82
TR14167,414,299,319,215
TR14168,26,9,25,29
TR1417-1,18,1,2,1
TR1417-2,109,54,24,34
TR14170,93,68,92,68
TR14171,18,63,62,61
TR14172,5,7,17,6
TR14173,7,7,25,27
TR14174,23,9,48,22
TR14175,2,2,18,17
TR14176,14,9,22,25
TR14177,9,2,37,30
TR14178,51,65,23,48
TR14179,2,5,12,13
TR1418-1,3,0,1,1
TR1418-2,0,1,0,0
TR14181-1,2,34,6,14
TR14181-2,59,9,0,8
TR14182,103,142,277,281
TR14183,321,107,274,532
TR14185,8,21,23,6
TR14187,93,69,142,99
TR14188,51,106,40,31
TR14189,5,31,52,16
TR1419,0,6,5,6
TR14190,7,11,24,12
TR14191-1,4,20,14,19
TR14191-2,8,2,13,2
TR14192,12,3,4,5
TR14194,22,30,33,16
TR14195,11,8,20,26
TR14196,8,6,13,13
TR14197,12,23,19,33
TR142,54,74,38,20
TR1420,15,25,17,32
TR14200,19,25,27,31
TR14201,11,14,30,16
TR14202,22,16,21,22
TR14203,6,2,3,6
TR14204,0,29,3,0
TR14205,640,771,1027,820
TR14207,55,86,197,225
TR14208,3,3,15,13
TR14209,6,6,11,5
TR1421,22,32,38,21
TR14211,1,1,5,5
TR14212,58,54,217,110
TR14214,8,9,4,4
TR14217,12,57,33,23
TR14218,9,1,10,2
TR1422,8,1,3,1
TR14220,18,23,13,19
TR14221,79,113,246,172
TR14222,28,36,9,22
TR14223,11027,5264,7778,2482
TR14224,222,232,251,147
TR14227,0,2,1,0
TR14227-1,1,1,3,3
TR14227-2,2,0,5,0
TR14228,12,22,18,10
TR14229,26,41,35,38
TR1423-1,3,5,7,1
TR1423-2,6,0,1,3
TR14232,5,7,11,3
TR14233,8,14,10,19
TR14234,102,90,107,82
TR14235,24,9,20,21
TR14236,489,780,435,482
TR14240,8,2,14,20
TR14241,1,0,5,0
TR14242,7,16,8,5
TR14243,6,18,11,14
TR14244,3,10,17,6
TR14245,10,32,20,7
TR14246,21,33,45,38
TR14247,21,28,29,37
TR14248,1230,935,1393,793
TR14249,23,19,15,24
TR1425,2,5,7,4
TR14251,30,30,50,32
TR14254,21,1,0,3
TR14254-1,5,14,7,1
TR14254-2,0,2,8,3
TR14255,27,5,9,0
TR14257,12,16,18,67
TR14258,9,10,20,21
TR14259-1,1,8,3,0
TR14259-2,5,2,4,2
TR1426,7,2,0,5
TR14260,1,3,5,9
TR14261,6,5,4,6
TR14263-1,0,1,0,0
TR14263-2,2,2,4,4
TR14263-3,1,2,2,0
TR14266,4,13,3,11
TR14267,16,27,46,87
TR14269,1,9,20,9
TR1427,18,8,120,163
TR14270,282,348,507,737
TR14271,18,11,23,59
TR14273,537,236,298,320
TR14275,10,13,22,3
TR14279,85,140,168,131
TR1428,5,0,24,13
TR14280-1,12,9,10,9
TR14280-2,2,8,5,4
TR14281,7,23,22,16
TR14282,19,12,51,52
TR14287,873,684,2015,2019
TR14289,49,21,19,12
TR1429,6,9,14,13
TR14290,30,19,25,25
TR14291,9,8,12,5
TR14292,0,2,12,8
TR14294-1,18,4,15,1
TR14294-2,7,3,7,0
TR14295,89,92,251,236
TR14296,8,13,23,15
TR14297,1575,2286,1602,1382
TR14298,193,267,273,249
TR14299,82,69,177,168
TR143,1,7,11,15
TR1430,1,6,5,1
TR14301,11,17,30,19
TR14305,606,1061,907,946
TR14307,10,17,15,14
TR14308,7,16,21,21
TR1431,41,28,62,45
TR14310,2,2,4,2
TR14312,58,17,56,52
TR14313,5,3,5,3
TR14317,17,35,13,1
TR14318,8,12,21,7
TR14319,81,56,100,72
TR14321,4,4,2,5
TR14322,35,53,23,16
TR14323,13,23,24,16
TR14325,15,25,12,4
TR14326,21,49,66,27
TR14327,7,3,7,9
TR14328-1,26,3,12,47
TR14328-2,17,36,26,26
TR14328-3,25,16,42,38
TR14329,14,13,21,18
TR1433,11,9,9,6
TR14330,5,19,8,6
TR14331,12,10,9,4
TR14332,10,11,1,2
TR14333,3,5,7,2
TR14334,5,10,18,8
TR14338,40,70,61,37
TR1434,28,7,2,1
TR14340,1,8,4,3
TR14341,3,12,9,13
TR14343,1602,1216,1298,801
TR14345,7,11,8,13
TR14346,326,307,275,213
TR14347,64583,82228,111765,98727
TR14348,4,11,14,17
TR14349,20,8,41,65
TR1435,8,4,5,5
TR14350,0,1,4,2
TR14353,7,12,11,11
TR14356,39,6,21,3
TR14357,144,101,82,57
TR14358,300,769,619,1207
TR1436,9,2,0,2
TR14360,64,64,116,93
TR14363,1,15,9,4
TR14366,436,302,323,473
TR14367,14,13,12,19
TR14367-1,20,21,16,35
